initialUsedMemory,initialFreeMemory,query token,gcRun,gcInitialMemory,gcFinalMemory,gcTotalMemory,userTime,sysTime,realTime,cpuTimeTaken,finalUsedMemory,finalFreeMemory
4.249633841,2.999877878,token_1,0,0,0,0,0,0,0,0.371230016,4.409713618,2.8397981
4.873216972,2.376294747,token_1,0,0,0,0,0,0,0,0.193802048,5.010444559,2.23906716
5.490317464,2.017495036,token_1,0,0,0,0,0,0,0,0.196102811,5.621264495,1.886548005
4.509700418,3.048405051,token_1,0,0,0,0,0,0,0,0.191939307,4.647536702,2.910568766
5.181700118,2.515077226,token_1,0,0,0,0,0,0,0,0.191069562,5.319710359,2.377066985
4.353559926,3.448197886,token_1,0,0,0,0,0,0,0,0.191411703,4.488307074,3.313450739
6.607852526,1.294491224,token_1,1,6.636343002,4.110030174,7.914550781,0.11,0,0.01,0.188287805,4.22067976,3.693871021
4.516493015,3.289659329,token_1,0,0,0,0,0,0,0,0.191804376,4.645598389,3.160553955
5.027513839,2.114087723,token_1,0,0,0,0,0,0,0,0.191982895,5.170535304,1.971066259
6.408615738,1.163649887,token_1,1,6.443582535,4.356523514,7.567382813,0.13,0,0.01,0.195107762,4.449745625,3.117637187
6.21386686,1.446777672,token_1,0,0,0,0,0,0,0,0.1951589,6.352689855,1.307954676
5.264452651,2.441113755,token_1,0,0,0,0,0,0,0,0.194489784,5.401629485,2.303936921
5.318927608,2.41495911,token_1,0,0,0,0,0,0,0,0.1926519,5.452771746,2.281114973
6.564707205,1.21068342,token_1,0,0,0,0,0,0,0,0.192134893,6.692626469,1.082764156
5.69893162,2.128705099,token_1,0,0,0,0,0,0,0,0.191147589,5.840147071,1.987489648
6.566483632,1.386153087,token_1,0,0,0,0,0,0,0,0.1919522,6.696381405,1.256255314
7.080305427,0.911393791,token_1,0,0,0,0,0,0,0,0.192364422,7.216078222,0.775620997
5.378026552,2.384180479,token_1,0,0,0,0,0,0,0,0.191456476,5.518214934,2.243992098
5.319839746,2.365707129,token_1,0,0,0,0,0,0,0,0.192136585,5.446557753,2.238989122
6.146654032,1.640943624,token_1,0,0,0,0,0,0,0,0.191701802,6.283191331,1.504406326
5.794410713,2.131370537,token_1,0,0,0,0,0,0,0,0.193828253,5.932692915,1.993088335
7.191571929,0.601396821,token_1,0,0,0,0,0,0,0,0.192881617,7.329497039,0.463471711
5.774767958,2.113903917,token_1,0,0,0,0,0,0,0,0.191995805,5.91013936,1.978532515
5.471674956,2.397465669,token_1,0,0,0,0,0,0,0,0.191358562,5.618207797,2.250932828
5.479445353,2.415574178,token_1,0,0,0,0,0,0,0,0.190656,5.610014632,2.285004899
6.10285946,1.695480384,token_1,0,0,0,0,0,0,0,0.188536371,6.237671286,1.560668558
5.252359204,2.559652515,token_1,0,0,0,0,0,0,0,0.192772522,5.385802604,2.426209114
7.187665597,0.682939872,token_1,0,0,0,0,0,0,0,0.194064174,7.316380814,0.554224655
6.149848454,1.77739764,token_1,0,0,0,0,0,0,0,0.191262916,6.295106083,1.632140011
5.459074162,2.062410213,token_1,0,0,0,0,0,0,0,0.196097123,5.600422814,1.921061561
4.523625143,2.725886576,token_10,0,0,0,0,0,0,0,0.182250803,4.621179022,2.628332697
5.036008604,2.190065615,token_10,1,5.132041931,4.160055161,7.153808594,0.22,0.01,0.04,0.189198087,4.171189666,2.982618928
5.244154319,2.045884743,token_10,0,0,0,0,0,0,0,0.183159008,5.343207203,1.94683186
5.189402536,2.483449027,token_10,0,0,0,0,0,0,0,0.183772986,5.288065985,2.384785578
4.612102084,3.157429166,token_10,0,0,0,0,0,0,0,0.179837511,4.712267585,3.057263665
6.286022767,1.575793639,token_10,0,0,0,0,0,0,0,0.182121838,6.376572378,1.485244028
5.872862957,1.751648761,token_10,0,0,0,0,0,0,0,0.182376142,5.973181464,1.651330255
5.646193437,2.159958906,token_10,0,0,0,0,0,0,0,0.183314115,5.741575643,2.0645767
4.964188546,2.305342704,token_10,0,0,0,0,0,0,0,0.181662405,5.063079089,2.206452161
5.466254435,2.101128377,token_10,0,0,0,0,0,0,0,0.181602172,5.565100148,2.002282664
5.289602637,2.371041894,token_10,0,0,0,0,0,0,0,0.182845447,5.393232293,2.267412238
5.873663306,1.846551538,token_10,0,0,0,0,0,0,0,0.183961369,5.97407797,1.746136874
5.726283222,2.003697246,token_10,0,0,0,0,0,0,0,0.178588929,5.823729962,1.906250507
5.363878712,2.439343944,token_10,0,0,0,0,0,0,0,0.189771263,5.454251029,2.348971628
6.289931975,1.550400056,token_10,0,0,0,0,0,0,0,0.181359463,6.38261269,1.457719341
7.280496262,0.672140457,token_10,1,7.321345329,4.845807076,7.971191406,0.24,0.01,0.04,0.188963595,4.90304742,3.068143986
5.768444456,2.24180945,token_10,0,0,0,0,0,0,0,0.188088743,5.870720059,2.139533848
6.447775185,1.575662315,token_10,0,0,0,0,0,0,0,0.189033826,6.537627637,1.485809863
5.629307479,1.851649553,token_10,0,0,0,0,0,0,0,0.181078439,5.727880374,1.753076658
6.897088416,0.944708459,token_10,0,0,0,0,0,0,0,0.18228999,6.991430655,0.85036622
7.023820363,0.901960887,token_10,0,0,0,0,0,0,0,0.185360301,7.124415226,0.801366024
6.639254324,1.237698801,token_10,0,0,0,0,0,0,0,0.180836312,6.733176202,1.143776923
6.723721385,1.16495049,token_10,0,0,0,0,0,0,0,0.183021913,6.822537087,1.066134788
6.563570864,1.273343198,token_10,0,0,0,0,0,0,0,0.180205641,6.660609558,1.176304504
5.176560588,2.541212849,token_10,0,0,0,0,0,0,0,0.182591836,5.265184171,2.452589266
6.551419169,1.152682394,token_10,0,0,0,0,0,0,0,0.184998684,6.657659195,1.046442367
