Household ID,Average age of adults in household (in years),Monthly household income (in Rs.),Number of adults in household,Avg.income,Current cable operator subscription fees (Rs. per month),Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Total,Avg Genre11,Avg Genre22,Avg Genre33,Avg Genre44,Avg Genre55,Avg Genre66,Avg Genre77,Avg Genre88,Proposed Plan (Genres included),Proposed subscription fee (Rs. per month),Survey Response
102093,62,"2,70,782",3,90260.66667,500,430,1549,549,3355,3414,3632,1072,1,14002,0.030709899,0.110627053,0.039208684,0.239608627,0.243822311,0.259391515,0.076560491,7.14E-05,"8,7,6,5",200,"Yes, I will switch!"
111482,21,"82,056",3,27352,510,164,79,1067,615,875,704,1877,0,5381,0.030477606,0.014681286,0.198290281,0.114291024,0.16260918,0.130830701,0.348819922,0,"8,7,6,5",220,Not interested
101366,61,"3,32,313",4,83078.25,525,185,520,1557,6180,5253,2125,2191,0,18011,0.010271501,0.028871245,0.086447171,0.343123647,0.2916551,0.117983455,0.121647882,0,"8,7,6,5",200,Not interested
101260,41,"1,39,553",4,34888.25,560,352,113,62,17,552,85,37,0,1218,0.288998358,0.092775041,0.05090312,0.013957307,0.45320197,0.069786535,0.030377668,0,"8,7,6,5",200,Not interested
108026,28,"1,14,659",3,38219.66667,490,243,0,166,253,406,33,135,2,1238,0.19628433,0,0.134087237,0.204361874,0.327948304,0.026655897,0.10904685,0.001615509,"8,7,6,4,5",260,"Yes, I will switch!"
104913,45,"3,27,658",5,65531.6,510,13,544,2432,234,1361,528,5632,1,10745,0.001209865,0.050628199,0.226337832,0.021777571,0.126663564,0.049139134,0.524150768,9.31E-05,"8,7,6,4,5",280,Not interested
105068,40,"1,22,041",5,24408.2,490,158,14,1856,6322,5666,2998,165,136,17315,0.009125036,0.000808548,0.107190297,0.365116951,0.327230725,0.173144672,0.00952931,0.007854461,"8,7,6,3,4",340,"Yes, I will switch!"
102559,38,"3,44,086",5,68817.2,550,112,13,162,113,786,248,1998,42,3474,0.032239493,0.003742084,0.046632124,0.032527346,0.226252159,0.07138745,0.575129534,0.01208981,"8,7,6,3,4",320,"Yes, I will switch!"
109987,37,"81,991",5,16398.2,575,94,1761,1316,1219,2015,447,382,64,7298,0.012880241,0.241298986,0.180323376,0.167032064,0.276103042,0.061249657,0.052343108,0.008769526,"8,7,6,3,4",280,Not interested
100184,55,"1,95,893",3,65297.66667,575,706,395,4176,1541,3941,4269,421,183,15632,0.045163767,0.02526868,0.267144319,0.098579836,0.252111054,0.273093654,0.026931934,0.011706755,"8,7,6,3,4",300,"Yes, I will switch!"
108117,33,"3,64,942",5,72988.4,600,743,335,1647,1719,4174,965,920,27,10530,0.070560304,0.031813865,0.156410256,0.163247863,0.396391263,0.091642925,0.087369421,0.002564103,"8,7,6,3,4",320,Not interested
103256,42,"36,441",5,7288.2,490,71,0,208,93,571,188,258,0,1389,0.051115911,0,0.14974802,0.066954644,0.411087113,0.135349172,0.18574514,0,"8,7,6,2,4",320,Not interested
109508,20,"2,26,561",5,45312.2,510,495,833,1482,3033,1529,2811,1492,73,11748,0.042134831,0.070905686,0.126149132,0.258171604,0.130149813,0.23927477,0.12700034,0.006213824,"8,7,6,2,4",370,"Yes, I will switch!"
104746,29,"2,25,473",4,56368.25,500,7,39,126,148,456,619,420,22,1837,0.003810561,0.021230267,0.068590093,0.08056614,0.248230811,0.336962439,0.228633642,0.011976048,"8,7,6,2",280,"Yes, I will switch!"
103014,53,"3,52,260",4,88065,500,0,216,27,134,194,22,77,7,677,0,0.319054653,0.039881832,0.197932053,0.286558346,0.032496307,0.113737075,0.010339734,"8,7,6,2",290,"Yes, I will switch!"
107816,69,"1,66,660",5,33332,515,586,110,1912,1898,4555,2102,429,23,11615,0.050452002,0.009470512,0.164614722,0.163409384,0.392165303,0.18097288,0.036934998,0.001980198,"8,7,6,2",240,Not interested
100144,68,"2,95,480",3,98493.33333,560,406,78,1408,814,6447,2483,16,96,11748,0.034559074,0.006639428,0.119850187,0.06928839,0.548774259,0.211355124,0.001361934,0.008171604,"8,7,6,2",250,Not interested
111227,35,"1,36,325",4,34081.25,490,2313,36,185,37,195,151,672,11,3600,0.6425,0.01,0.051388889,0.010277778,0.054166667,0.041944444,0.186666667,0.003055556,"8,7,6,1,2",340,Not interested
102791,27,"4,17,509",4,104377.25,490,927,733,579,110,283,178,1211,41,4062,0.228212703,0.180452979,0.14254062,0.027080256,0.069670113,0.043820778,0.298129,0.01009355,"8,7,6,1,2",330,Not interested
111924,21,"29,483",5,5896.6,500,365,125,299,289,867,245,45,1,2236,0.163237925,0.055903399,0.13372093,0.129248658,0.387745975,0.109570662,0.020125224,0.000447227,"8,7,6,1,2",380,Not interested
111821,21,"4,63,290",5,92658,490,66,3,186,284,382,327,81,13,1342,0.049180328,0.002235469,0.138599106,0.211624441,0.284649776,0.24366617,0.060357675,0.009687034,"8,7,6,1",220,Not interested
102469,67,"58,913",4,14728.25,515,729,111,854,825,2571,607,682,1,6380,0.114263323,0.017398119,0.133855799,0.129310345,0.402978056,0.095141066,0.106896552,0.00015674,"8,7,6,1",240,"Yes, I will switch!"
105748,45,"1,87,082",4,46770.5,550,53,91,398,52,347,236,2962,0,4139,0.012805025,0.021985987,0.096158492,0.012563421,0.083836676,0.057018604,0.715631795,0,"8,7,6,1",270,Not interested
111378,33,"30,731",3,10243.66667,600,632,1101,258,2417,8783,1746,312,173,15422,0.040980418,0.071391519,0.016729348,0.15672416,0.569511088,0.113214888,0.020230839,0.011217741,"8,7,6,1",280,Not interested
104893,67,"2,33,235",5,46647,515,176,62,377,2201,2910,704,256,16,6702,0.026260818,0.00925097,0.056251865,0.32840943,0.434198747,0.105043271,0.038197553,0.002387347,"8,7,6",140,Not interested
104900,39,"77,714",3,25904.66667,525,125,449,25,120,345,557,36,0,1657,0.075437538,0.270971635,0.015087508,0.072420036,0.208207604,0.336149668,0.021726011,0,"8,7,6",160,"Yes, I will switch!"
105534,54,"3,92,405",4,98101.25,600,283,1474,819,863,3485,2151,158,11,9244,0.030614453,0.159454781,0.08859801,0.093357854,0.377001298,0.232691476,0.017092168,0.001189961,"8,7,6",130,Not interested
109081,66,"2,10,757",5,42151.4,510,10,137,1395,607,676,47,70,0,2942,0.003399048,0.046566961,0.474167233,0.20632223,0.229775663,0.015975527,0.023793338,0,"8,7,5,6,3",340,"Yes, I will switch!"
106131,33,"3,88,621",3,129540.3333,525,183,107,490,316,258,143,55,0,1552,0.117912371,0.068943299,0.315721649,0.203608247,0.166237113,0.092139175,0.035438144,0,"8,7,5,6,3",340,"Yes, I will switch!"
